Idle Energy:
kernel_processes: 10471.796000000186
system_processes: 38931.08800000052
policy: 225.50800000001132
sidecar: 2550.0000000000296
rabbitmq: 577.3479999999605
orchestrator: 130.53200000000396
policy-enforcer: 173.22800000000913
surf: 625.264000000044
vu: 605.0480000000013
api-gateway: 102.89999999999239
uva: 675.6040000000514
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 9870.024000000169
system_processes: 41750.12400000119
policy: 192.4560000000003
sidecar: 2215.1514652000365
rabbitmq: 539.9279999999786
orchestrator: 128.97600000000006
policy-enforcer: 157.50399999999317
surf: 520.9559999999652
vu: 407.22800000003855
api-gateway: 128.58800000000363
uva: 675.5080000000197
sql-algorithm: 75.50075559999999
sql-query: 98.64997489999999
