run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.021966,200,5.233237
1,200,0.029911,200,5.210171
2,200,0.022288,200,5.225663
3,200,0.023063,200,5.218199
4,200,0.021283,200,5.176975
5,200,0.022336,200,5.260596
6,200,0.022376,200,5.274255
