run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.023425,200,9.427961
1,200,0.022174,200,6.522443
2,200,0.022292,200,6.15999
3,200,0.020667,200,6.161952
4,200,0.023102,200,6.270154
5,200,0.027568,200,6.251179
6,200,0.018421,200,6.302754
