time,debug_power,etcd_power,loki_power,nginx-ingress_power,policy_power
1719830030.938,0,3.466666666666667,1.7,1.4666666666666666,1.4000000000000001
1719830035.938,0,3.466666666666667,1.7,1.4666666666666666,1.4000000000000001
1719830040.938,0,3.466666666666667,1.7,1.4666666666666666,1.4000000000000001
1719830045.938,0,3.466666666666667,1.7,1.4666666666666666,1.4000000000000001
1719830050.938,0,2.7667588919630655,1.6000533351111703,1.5000500016667222,1.400046668222274
1719830055.938,0,2.7667588919630655,1.6000533351111703,1.5000500016667222,1.400046668222274
1719830060.938,0,2.7667588919630655,1.6000533351111703,1.5000500016667222,1.400046668222274
1719830065.938,0,2.7667588919630655,1.6000533351111703,1.5000500016667222,1.400046668222274
1719830070.938,0,2.7667588919630655,1.6000533351111703,1.5000500016667222,1.400046668222274
1719830075.938,0,2.7667588919630655,1.6000533351111703,1.5000500016667222,1.400046668222274
1719830080.938,0,3.0666666666666664,2.033333333333333,1.4666666666666668,1.3666666666666667
1719830085.938,0,3.0666666666666664,2.033333333333333,1.4666666666666668,1.3666666666666667
1719830090.938,0,3.0666666666666664,2.033333333333333,1.4666666666666668,1.3666666666666667
1719830095.938,0,3.0666666666666664,2.033333333333333,1.4666666666666668,1.3666666666666667
1719830100.938,0,3.0666666666666664,2.033333333333333,1.4666666666666668,1.3666666666666667
1719830105.938,0,3.0666666666666664,2.033333333333333,1.4666666666666668,1.3666666666666667
1719830110.938,0,3.1,1.6666666666666667,1.5333333333333334,1.4666666666666668
1719830115.938,0,3.1,1.6666666666666667,1.5333333333333334,1.4666666666666668
1719830120.938,0,3.1,1.6666666666666667,1.5333333333333334,1.4666666666666668
1719830125.938,0,3.1,1.6666666666666667,1.5333333333333334,1.4666666666666668
1719830130.938,0,3.1,1.6666666666666667,1.5333333333333334,1.4666666666666668
1719830135.938,0,3.1,1.6666666666666667,1.5333333333333334,1.4666666666666668
1719830140.938,0,2.333333333333333,1.5333333333333332,1.4000000000000001,1.4
1719830145.938,0,2.333333333333333,1.5333333333333332,1.4000000000000001,1.4
1719830150.938,0,2.333333333333333,1.5333333333333332,1.4000000000000001,1.4
1719830155.938,0,2.333333333333333,1.5333333333333332,1.4000000000000001,1.4
1719830160.938,0,2.333333333333333,1.5333333333333332,1.4000000000000001,1.4
1719830165.938,0,2.333333333333333,1.5333333333333332,1.4000000000000001,1.4
1719830170.938,0,2.4332522249258357,1.599946668444385,1.533282223925869,1.499950001666611
1719830175.938,0,2.4332522249258357,1.599946668444385,1.533282223925869,1.499950001666611
1719830180.938,0,2.4332522249258357,1.599946668444385,1.533282223925869,1.499950001666611
1719830185.938,0,2.4332522249258357,1.599946668444385,1.533282223925869,1.499950001666611
1719830190.938,0,2.4332522249258357,1.599946668444385,1.533282223925869,1.499950001666611
1719830195.938,0,2.4332522249258357,1.599946668444385,1.533282223925869,1.499950001666611
1719830200.938,0,2.4000800026667557,1.8333944464815495,1.533384446148205,1.4333811127037568
1719830205.938,0,2.4000800026667557,1.8333944464815495,1.533384446148205,1.4333811127037568
1719830210.938,0,2.4000800026667557,1.8333944464815495,1.533384446148205,1.4333811127037568
1719830215.938,0,2.4000800026667557,1.8333944464815495,1.533384446148205,1.4333811127037568
1719830220.938,0,2.4000800026667557,1.8333944464815495,1.533384446148205,1.4333811127037568
1719830225.938,0,2.4000800026667557,1.8333944464815495,1.533384446148205,1.4333811127037568
1719830230.938,0,2.5999133362221256,1.633278890703643,1.533282223925869,1.466617779407353
1719830235.938,0,2.5999133362221256,1.633278890703643,1.533282223925869,1.466617779407353
1719830240.938,0,2.5999133362221256,1.633278890703643,1.533282223925869,1.466617779407353
1719830245.938,0,2.5999133362221256,1.633278890703643,1.533282223925869,1.466617779407353
1719830250.938,0,2.5999133362221256,1.633278890703643,1.533282223925869,1.466617779407353
1719830255.938,0,2.5999133362221256,1.633278890703643,1.533282223925869,1.466617779407353
1719830260.938,0,2.7334244474815828,1.6000533351111703,1.4667155571852395,1.4667155571852395
1719830265.938,0,2.7334244474815828,1.6000533351111703,1.4667155571852395,1.4667155571852395
1719830270.938,0,2.7334244474815828,1.6000533351111703,1.4667155571852395,1.4667155571852395
1719830275.938,0,2.7334244474815828,1.6000533351111703,1.4667155571852395,1.4667155571852395
1719830280.938,0,2.7334244474815828,1.6000533351111703,1.4667155571852395,1.4667155571852395
1719830285.938,0,2.7334244474815828,1.6000533351111703,1.4667155571852395,1.4667155571852395
1719830290.938,0,2.3,1.5333333333333332,1.4666666666666666,1.4
1719830295.938,0,2.3,1.5333333333333332,1.4666666666666666,1.4
1719830300.938,0,2.3,1.5333333333333332,1.4666666666666666,1.4
1719830305.938,0,2.3,1.5333333333333332,1.4666666666666666,1.4
1719830310.938,0,2.3,1.5333333333333332,1.4666666666666666,1.4
1719830315.938,0,2.3,1.5333333333333332,1.4666666666666666,1.4
