Idle Energy:
kernel_processes: 10462.424000000017
system_processes: 39132.723999999485
policy: 226.56399999999874
policy-enforcer: 206.06400000000045
rabbitmq: 558.1959999999991
sidecar: 2440.856000000002
surf: 638.6199999999998
vu: 610.351999999997
uva: 636.935999999997
api-gateway: 87.5799999999995
orchestrator: 120.04799999999912
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9849.267999999982
system_processes: 42033.71200000023
policy: 191.34799999999953
policy-enforcer: 177.66400000000033
rabbitmq: 554.1040000000013
sidecar: 2020.1280000000029
surf: 320.6519999999997
vu: 576.7120000000008
uva: 589.0039999999981
api-gateway: 130.97999999999956
orchestrator: 147.56399999999957
sql-algorithm: 0
sql-query: 0
