run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.033051,200,0.017466
1,200,0.025869,200,1.011311
2,200,0.026283,200,1.016334
3,200,0.024171,200,0.011995
4,200,0.021463,200,1.021063
5,200,0.025562,200,0.008348
6,200,0.025875,200,1.016516
