Idle Energy:
kernel_processes: 10480.900000000023
system_processes: 37921.108000000124
policy: 230.54799999998295
rabbitmq: 489.6879999999994
policy-enforcer: 230.4839999999999
orchestrator: 188.5239999999999
sidecar: 2493.388
vu: 603.7280000000018
uva: 628.6479999999973
api-gateway: 158.42000000000067
surf: 629.7840000000008
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9558.291999999938
system_processes: 43901.26800000027
policy: 193.72799999999592
rabbitmq: 509.7719999999965
policy-enforcer: 186.82399999999944
orchestrator: 154.50399999999902
sidecar: 2016.535675699994
vu: 379.9639999999973
uva: 563.7439999999971
api-gateway: 104.59999999999945
surf: 403.24799999999914
sql-query: 34.85986
sql-algorithm: 58.51863930000002
