Idle Energy:
kernel_processes: 10598.911999999984
system_processes: 38587.53600000019
policy: 248.08800000000087
sidecar: 2520.388000000002
uva: 593.367999999999
rabbitmq: 621.9720000000005
vu: 663.8559999999986
policy-enforcer: 217.068
orchestrator: 167.88400000000044
api-gateway: 92.28800000000015
surf: 653.3960000000001
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 9531.812000000016
system_processes: 45269.91199999995
policy: 192.652
sidecar: 1951.335284800001
uva: 558.459999999999
rabbitmq: 554.8720000000018
vu: 401.62399999999576
policy-enforcer: 161.52799999999974
orchestrator: 133.09200000000112
api-gateway: 115.00399999999965
surf: 317.6279999999994
sql-query: 0
sql-algorithm: 0
