Idle Energy:
kernel_processes: 10514.223999999995
system_processes: 38508.15199999998
policy: 228.78399999999988
sidecar: 2571.5799999999995
rabbitmq: 553.3240000000001
orchestrator: 212.43200000000007
policy-enforcer: 202.71999999999994
surf: 659.012
vu: 675.464
api-gateway: 143.00400000000005
uva: 611.624

Active Energy:
kernel_processes: 9869.252
system_processes: 41239.36399999994
policy: 188.53199999999958
sidecar: 2207.9862855999995
rabbitmq: 545.6240000000001
orchestrator: 157.61200000000002
policy-enforcer: 167.96399999999988
surf: 566.7440000000005
vu: 428.108
api-gateway: 141.76799999999997
uva: 613.4760000000001
sql-algorithm: 84.17148960000002
sql-query: 97.848696
