run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.024552,200,4.966218
1,200,0.029965,200,4.944248
2,200,0.026076,200,5.074385
3,200,0.021499,200,5.167814
4,200,0.023418,200,5.065824
5,200,0.023596,200,6.09002
6,200,0.023386,200,5.088524
