Idle Energy:
kernel_processes: 10481.223999999656
system_processes: 38135.739999999445
policy: 234.98399999997542
rabbitmq: 572.5959999999993
policy-enforcer: 234.9159999999997
orchestrator: 150.9880000000039
sidecar: 2576.287999999982
vu: 677.9319999999975
uva: 562.0160000000058
api-gateway: 84.78800000000032
surf: 635.6079999999993
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9487.347999999882
system_processes: 44201.215999999964
policy: 186.47599999997922
rabbitmq: 532.2399999999922
policy-enforcer: 179.6880000000008
orchestrator: 116.6119999999979
sidecar: 2027.0205449999899
vu: 378.7839999999983
uva: 540.3159999999939
api-gateway: 113.9719999999996
surf: 398.4679999999968
sql-query: 138.639
sql-algorithm: 47.006579
