Idle Energy:
kernel_processes: 10462.975999999868
system_processes: 38319.29999999851
policy: 223.98799999999628
rabbitmq: 557.8559999999995
policy-enforcer: 223.73999999999992
orchestrator: 179.8279999999998
sidecar: 2357.5119999999993
vu: 597.2719999999989
uva: 611.3000000000001
api-gateway: 144.6040000000001
surf: 628.0960000000003
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9489.715999999858
system_processes: 44324.06800000022
policy: 183.84799999999814
rabbitmq: 500.9759999999997
policy-enforcer: 179.60400000000027
orchestrator: 119.03199999999984
sidecar: 1927.8055302999976
vu: 366.92799999999846
uva: 556.244000000001
api-gateway: 91.97599999999984
surf: 393.2600000000005
sql-query: 30.192586500000004
sql-algorithm: 86.694674
