Idle Energy:
kernel_processes: 10486.027999999971
system_processes: 39352.1079999983
policy: 238.17600000000186
vu: 650.4119999999998
sidecar: 2441.496
uva: 609.3320000000002
policy-enforcer: 222.0640000000003
rabbitmq: 572.7159999999996
orchestrator: 189.41600000000005
surf: 600.3120000000007
api-gateway: 173.93200000000004
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9874.599999999919
system_processes: 41591.603999999934
policy: 203.45999999998895
vu: 612.6720000000007
sidecar: 2137.7396172999993
uva: 556.3599999999998
policy-enforcer: 197.42399999999952
rabbitmq: 564.2640000000002
orchestrator: 157.80799999999974
surf: 319.64800000000076
api-gateway: 179.23599999999988
sql-algorithm: 42.350131199999986
sql-query: 44.93338739999999
