Idle Energy:
kernel_processes: 10513.39200000001
system_processes: 38208.036000000095
policy: 239.03999999999735
policy-enforcer: 211.0919999999998
rabbitmq: 510.4639999999999
sidecar: 2320.675999999999
surf: 618.0440000000001
vu: 680.8919999999994
uva: 577.8040000000008
api-gateway: 182.972
orchestrator: 124.24399999999993
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9921.516000000003
system_processes: 42051.16800000021
policy: 196.08799999999815
policy-enforcer: 189.67200000000034
rabbitmq: 496.26399999999995
sidecar: 2105.5255636000006
surf: 324.3439999999998
vu: 646.6920000000006
uva: 565.4559999999997
api-gateway: 175.2840000000001
orchestrator: 142.09199999999976
sql-query: 63.008283600000006
sql-algorithm: 51.98290140000001
