Idle Energy:
kernel_processes: 10446.49999999996
system_processes: 38729.0879999997
policy: 230.04400000000211
sidecar: 2162.3399999999947
uva: 616.7760000000272
rabbitmq: 533.7279999999897
surf: 627.5600000000326
vu: 607.9960000000086
api-gateway: 124.38400000000135
orchestrator: 184.53599999999759
policy-enforcer: 161.92399999999728
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 10398.523999999548
system_processes: 38135.027999999715
policy: 232.64800000000588
sidecar: 2222.1599999999735
uva: 573.3640000000216
rabbitmq: 529.8920000000077
surf: 613.011999999982
vu: 610.8920000000019
api-gateway: 174.07200000000225
orchestrator: 174.24400000000225
policy-enforcer: 216.54799999999813
sql-algorithm: 0
sql-query: 0
