Idle Energy:
kernel_processes: 10474.943999999861
system_processes: 37848.90800000098
policy: 231.7080000000009
rabbitmq: 529.1160000000059
policy-enforcer: 231.64000000000092
orchestrator: 111.9879999999998
sidecar: 2473.1160000000145
vu: 601.9840000000067
uva: 640.8280000000052
api-gateway: 111.96799999999979
surf: 599.1040000000012
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9377.78000000022
system_processes: 44359.66778079957
policy: 176.62399999997672
rabbitmq: 506.2479999999999
policy-enforcer: 171.8439999999986
orchestrator: 138.092000000001
sidecar: 1988.1341341999912
vu: 298.63599999999894
uva: 546.8760000000012
api-gateway: 104.60000000000035
surf: 402.70800000000236
sql-algorithm: 119.859
sql-query: 28.103868000000002
