Idle Energy:
kernel_processes: 10418.544000000187
system_processes: 38156.45999999829
policy: 230.42400000000467
rabbitmq: 544.9479999999944
policy-enforcer: 230.4439999999998
orchestrator: 171.21600000000092
sidecar: 2512.632
vu: 629.7440000000056
uva: 595.9119999999992
api-gateway: 160.3120000000005
surf: 599.3440000000058
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9481.984000000364
system_processes: 43485.279999999504
policy: 185.62399999999596
rabbitmq: 518.0800000000061
policy-enforcer: 171.80800000000306
orchestrator: 133.81599999999958
sidecar: 1999.7768955500046
vu: 307.755999999999
uva: 558.6199999999949
api-gateway: 134.971999999998
surf: 432.03200000000805
sql-algorithm: 27.156384
sql-query: 33.56544625
