Idle Energy:
kernel_processes: 10422.83999999993
system_processes: 38682.00800000016
policy: 221.9879999999907
sidecar: 2479.407999999993
uva: 574.7599999999628
rabbitmq: 502.4520000000199
surf: 595.4400000000186
vu: 647.6200000000108
api-gateway: 120.90400000000542
orchestrator: 181.46800000000874
policy-enforcer: 166.28799999999634
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 10270.408000000247
system_processes: 39494.09999999893
policy: 223.62800000001147
sidecar: 2432.985454300012
uva: 547.3159999999931
rabbitmq: 516.6760000000298
surf: 558.2479999999806
vu: 629.4279999999702
api-gateway: 155.45600000000354
orchestrator: 155.68000000000356
policy-enforcer: 194.56400000000457
sql-query: 46.407999999999994
sql-algorithm: 0
