Idle Energy:
kernel_processes: 10406.032000000085
system_processes: 37664.1519999993
policy: 233.36800000000216
rabbitmq: 559.7760000000005
policy-enforcer: 233.34399999999974
orchestrator: 193.46799999999965
sidecar: 2241.7279999999996
vu: 640.8199999999993
uva: 570.4440000000002
api-gateway: 132.6239999999998
surf: 627.66
sql-query: 0

Active Energy:
kernel_processes: 9410.559999999958
system_processes: 44759.33199999919
policy: 183.41599999999175
rabbitmq: 536.3479999999998
policy-enforcer: 178.3800000000008
orchestrator: 142.23199999999972
sidecar: 1891.4616619999997
vu: 352.8120000000002
uva: 543.1399999999992
api-gateway: 111.59199999999954
surf: 377.82799999999844
sql-query: 40.8642354
sql-algorithm: 41.4549429
