Idle Energy:
kernel_processes: 10374.287999999995
system_processes: 39119.651999999995
policy: 223.1319999999998
sidecar: 2866.5080000000007
uva: 713.8439999999999
rabbitmq: 550.1279999999999
surf: 591.3920000000002
vu: 507.5320000000001
policy-enforcer: 223.02799999999982
api-gateway: 181.09199999999984
orchestrator: 184.08400000000017
sql-algorithm: 285.33200000000005
sql-query: 506.78799999999995

Active Energy:
kernel_processes: 10314.719999999996
system_processes: 38966.12799999999
policy: 222.99600000000024
sidecar: 2823.176
uva: 660.0760000000005
rabbitmq: 554.484
surf: 578.1800000000002
vu: 525.2879999999998
policy-enforcer: 213.34800000000007
api-gateway: 186.85999999999976
orchestrator: 167.57200000000003
sql-algorithm: 330.69599999999997
sql-query: 524.3679999999999
