Idle Energy:
kernel_processes: 10379.200000000186
system_processes: 38101.300000001596
policy: 234.05199999998632
sidecar: 2487.864000000055
uva: 571.6240000000099
rabbitmq: 509.5120000000094
surf: 608.7120000000219
vu: 608.7120000000251
api-gateway: 123.50000000000637
orchestrator: 179.45600000000147
policy-enforcer: 156.00799999999418
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 10381.347999999882
system_processes: 38860.624000001524
policy: 231.66400000001084
sidecar: 2449.8199999999642
uva: 579.0519999999723
rabbitmq: 499.9959999999928
surf: 599.1119999999997
vu: 616.2360000000102
api-gateway: 167.72400000000331
orchestrator: 177.58399999999557
policy-enforcer: 213.0920000000007
sql-query: 0
sql-algorithm: 0
