time,destination_cpu,etcd_cpu,identity_cpu,jaeger_cpu,kube-proxy_cpu,kube-state-metrics_cpu,linkerd-proxy_cpu,nginx-ingress_cpu,node-exporter_cpu,ot-collector_cpu,policy_cpu,proxy-injector_cpu,destination_memory,etcd_memory,identity_memory,jaeger_memory,kube-proxy_memory,kube-state-metrics_memory,linkerd-proxy_memory,nginx-ingress_memory,node-exporter_memory,ot-collector_memory,policy_memory,proxy-injector_memory,destination_memory_rss,etcd_memory_rss,identity_memory_rss,jaeger_memory_rss,kube-proxy_memory_rss,kube-state-metrics_memory_rss,linkerd-proxy_memory_rss,nginx-ingress_memory_rss,node-exporter_memory_rss,ot-collector_memory_rss,policy_memory_rss,proxy-injector_memory_rss,destination_memory_cache,etcd_memory_cache,identity_memory_cache,jaeger_memory_cache,kube-proxy_memory_cache,kube-state-metrics_memory_cache,linkerd-proxy_memory_cache,nginx-ingress_memory_cache,node-exporter_memory_cache,ot-collector_memory_cache,policy_memory_cache,proxy-injector_memory_cache,destination_disk,etcd_disk,identity_disk,jaeger_disk,kube-proxy_disk,kube-state-metrics_disk,linkerd-proxy_disk,nginx-ingress_disk,node-exporter_disk,ot-collector_disk,policy_disk,proxy-injector_disk,destination_energy,etcd_energy,identity_energy,jaeger_energy,kube-proxy_energy,kube-state-metrics_energy,linkerd-proxy_energy,nginx-ingress_energy,node-exporter_energy,ot-collector_energy,policy_energy,proxy-injector_energy,rabbitmq_energy
1724055107.84,0.002211697949405507,0.007243246903901471,0.00035778338979764606,0.0007385303599137397,0.0019083560045855608,0.0011212376189253935,0.00010032090904549392,0.003223180971178557,0.0005016755874841733,0.007639203451598647,0.0006807161332633789,0.00024359596051919946,45084.16563334255,31907.486533536867,52077.841228406185,27106.59793603186,71185.16859042899,65392.128350444895,25559.865993472325,75026.24652678832,38769.52571910229,75452.25788640381,31913.246966023806,749.9281998918334,30311.533055215154,24095.5114713854,1526.2416835255674,15902.939726511826,4443.941464771591,38462.33013004791,238.10324740780214,48141.046414885655,7990.266428215309,34980.67857658904,4949.724847125231,31132.435964954027,12394.890302495245,4387.877909384509,15375.853717139331,4157.932925166696,20823.91970443778,20752.390308008213,15611.29117786807,19517.2134881754,13826.089290707643,36650.22239028515,15608.270999023049,1551.9347469983775,65626.35431693701,4560.7237542187195,8507.766141274276,85572.86569004122,1036.5775703046897,0,113.87546615155755,11173.896261019485,10174.397903441017,831584.3749196834,19778.102225277707,1572.7660858842617,0.3394526666666667,3.4793898333333337,0.11057927777777779,0.22630177777777782,0.3085933333333334,0.19287083333333335,0.06229155555555555,0.36774038888888894,0.12600894444444444,1.4735331666666667,0.13886700000000002,0.08743477777777778,0
1724055112.84,0.0023484452800068517,0.007772797928336291,0.0003745841237391294,0.0007775613979294219,0.0020118056340461595,0.001177455786377179,0.00010582905198827685,0.0033497748319833457,0.0005230002694234916,0.008160095509280608,0.0007076661157747465,0.0002522308081846042,47718.006273207626,33553.593888906194,54523.30398513201,28238.650584570638,75044.02893727995,68670.84961307725,26963.236405781656,77972.9821567288,40131.06862277124,80090.30261778495,33176.71260990701,776.5112177393185,32259.477695115358,25338.599002668827,1597.9106910494136,16845.470855414816,4684.842060242534,40390.80780448524,251.1763618197562,50031.83721544517,8270.875756082338,37379.633307201606,5145.687586287304,32236.000414205875,12987.684353612416,4704.232520639272,16097.870542936998,4327.14856769865,21952.75875342287,21792.90244715545,16468.432766269234,20283.772806349825,14311.646269032528,38673.86392437168,16226.212325666476,1606.946825599423,69680.11211869655,4894.624083408622,8907.272433214637,90330.78651893347,1092.769164167427,0,120.12782521814428,11612.762921180183,10357.803287853307,888409.1539528092,20561.129809072376,1628.5165816477374,0.3761193333333333,3.8552231666666663,0.12252372222222221,0.2507462222222222,0.34192666666666666,0.21370416666666664,0.07118044444444444,0.4074626111111111,0.13962005555555554,1.6326998333333334,0.15386699999999998,0.09687922222222223,0
1724055117.84,0.002485192610608196,0.01510435214883835,0.0003913848576806127,0.000816592435945104,0.002115255263506759,0.0012336739538289648,0.00011133719493105976,0.003476368692788134,0.0005443249513628098,0.00868098756696257,0.0007346160982861141,0.0002608656558500089,50351.84691307269,83429.41227449078,56968.76674185784,29370.703233109423,78902.88928413091,71949.57087570961,28366.606818090986,80919.71778666927,41492.611526440196,84728.34734916608,34440.1782537902,803.0942355868036,34207.422335015566,61402.53964966521,1669.5796985732595,17788.00198431781,4925.742655713479,42319.28547892257,264.2494762317103,51922.62801600469,8551.485083949368,39778.58803781416,5341.650325449377,33339.56486345772,13580.47840472959,16666.459877076722,16819.887368734664,4496.364210230606,23081.597802407963,22833.41458630269,17325.574354670396,21050.33212452425,14797.203247357415,40697.50545845823,16844.153652309906,1661.9589042004686,73733.8699204561,24459.18451871631,9306.778725154994,95088.70734782572,1148.9607580301647,0,126.380184284731,12051.62958134088,10541.208672265599,945233.932985935,21344.157392867048,1684.2670774112132,0.41278600000000004,4.2310565,0.13446816666666667,0.2751906666666667,0.37526000000000004,0.2345375,0.08006933333333333,0.44718483333333336,0.1532311666666667,1.7918665,0.16886700000000002,0.10632366666666668,0
1724055122.84,0.002621939941209542,0.01607218692926725,0.00040818559162209597,0.0008556234739607862,0.0022187048929673578,0.0012898921212807504,0.0004983274324660594,0.0036029625535929223,0.0005656496333021282,0.009201879624644532,0.0007615660807974816,0.0002695005035154136,52985.687552937765,87800.21592223643,59414.22949858366,30502.755881648194,82761.74963098187,75228.29213834197,52170.30888278312,83866.45341660974,42854.15443010915,89366.39208054723,35703.643897673406,829.6772534342888,36155.36697491576,64647.79410060828,1741.2487060971052,18730.533113220798,5166.643251184422,44247.7631533599,21375.332405166875,53813.4188165642,8832.094411816399,42177.54276842672,5537.613064611451,34443.12931270957,14173.272455846762,17675.872268213672,17541.904194532326,4665.579852762561,24210.436851393053,23873.926725449932,18182.715943071562,21816.891442698674,15282.760225682301,42721.14699254477,17462.094978953333,1716.9709828015143,77787.62772221564,25971.94856128606,9706.28501709535,99846.62817671798,1205.152351892902,0,132.63254335131776,12490.496241501578,10724.61405667789,1002058.7120190609,22127.18497666172,1740.017573174689,0.44945266666666667,4.606889833333334,0.14641261111111112,0.2996351111111111,0.40859333333333336,0.2553708333333333,0.08895822222222223,0.4869070555555556,0.16684227777777777,1.9510331666666667,0.183867,0.11576811111111111,0
1724055127.84,0.002758687271810887,0.017040021709696145,0.0004249863255635793,0.0008946545119764684,0.0023221545224279567,0.0013461102887325361,0.0009523705196272965,0.0037295564143977103,0.0005869743152414464,0.009722771682326492,0.0007885160633088493,0.00027813535118081836,55619.52819280283,92171.01956998208,61859.6922553095,31634.808530186972,86620.60997783284,78507.01340097435,64595.98579453998,86813.18904655021,44215.697333778095,94004.43681192838,36967.10954155661,856.2602712817738,38103.31161481599,67893.04855155136,1812.9177136209516,19673.064242123786,5407.543846655366,46176.240827797235,32014.852098522766,55704.209617123706,9112.703739683428,44576.49749903928,5733.575803773524,35546.69376196142,14766.066506963936,18685.284659350622,18263.92102032999,4834.795495294516,25339.275900378147,24914.438864597174,19039.857531472724,22583.4507608731,15768.317204007186,44744.78852663132,18080.036305596765,1771.9830614025598,81841.38552397519,27484.71260385581,10105.79130903571,104604.54900561023,1261.3439457556397,0,138.88490241790447,12929.362901662274,10908.01944109018,1058883.4910521868,22910.21256045639,1795.7680689381646,0.4861193333333334,4.982723166666667,0.15835705555555557,0.32407955555555557,0.4419266666666667,0.2762041666666667,0.0978471111111111,0.5266292777777779,0.1804533888888889,2.1101998333333336,0.19886700000000002,0.12521255555555558,0
1724055132.84,0.0028954346024122318,0.025396994934721744,0.0004417870595050626,0.0009336855499921506,0.0024256041518885556,0.0014023284561843216,0.0014498784817670429,0.0038561502752024993,0.0006082989971807647,0.010243663740008454,0.0008154660458202169,0.00028677019884622306,58253.368832667904,140844.55523395035,64305.15501203532,32766.861178725754,90479.47032468379,81785.73466360671,70569.20368554039,89759.92467649069,45577.24023744705,98642.4815433095,38230.575185439804,882.843289129259,40051.256254716194,103021.93240505009,1884.5867211447976,20615.59537102678,5648.44444212631,48104.718502234566,36358.56651728296,57595.00041768323,9393.313067550458,46975.45222965183,5929.538542935597,36650.258211213266,15358.860558081107,29111.234448166157,18985.937846127657,5004.011137826471,26468.114949363237,25954.95100374441,21377.530852021988,23350.010079047526,16253.874182332074,46768.43006071785,18697.977632240192,1826.9951400036055,85895.14332573472,58308.7389724764,10505.297600976068,109362.46983450245,1317.535539618377,0,1625.6689936325927,13368.229561822973,11091.424825502472,1115708.2700853127,23693.240144251064,1851.5185647016403,0.5227860000000001,5.358556500000001,0.17030150000000002,0.34852400000000006,0.47526000000000007,0.29703750000000007,0.106736,0.5663515000000001,0.19406450000000003,2.2693665000000003,0.21386700000000003,0.13465700000000003,0
1724055137.84,0.0030321819330135762,0.026763563014594788,0.00045858779344654587,0.0009727165880078328,0.0025290537813491545,0.0014585466236361076,0.004900004018487225,0.003982744136007288,0.000629623679120083,0.010764555797690414,0.0008424160283315845,0.0002954050465116278,60887.20947253297,147430.6627977392,66750.61776876113,33898.913827264536,94338.33067153474,85064.45592623908,128214.69244073366,92706.66030643115,46938.783141116,103280.52627469065,39494.04082932301,909.4263069767443,41999.2008946164,108000.42736241553,1956.2557286686433,21558.126499929767,5889.3450375972525,50033.1961766719,51613.61097773808,59485.79121824274,9673.922395417487,49374.406960264394,6125.501282097671,37753.82266046512,15951.65460919828,30474.838968907156,19707.95467192532,5173.2267803584255,27596.953998348326,26995.46314289166,39259.88820028905,24116.569397221952,16739.43116065696,48792.071594804394,19315.91895888362,1882.0072186046514,89948.90112749426,61268.447646740635,10904.803892916423,114120.39066339472,1373.7271334811144,0,7428.892661072792,13807.096221983671,11274.830209914762,1172533.0491184383,24476.267728045736,1907.2690604651166,0.5488569722222222,4.7765390555555545,0.1504588611111111,0.2882028888888889,0.4598531388888889,0.3157516944444444,0.10200670011166854,0.5297847222222222,0.18648422222222222,1.883914472222222,0.23098613888888886,0.14583972222222222,0
1724055142.84,0.003168929263614921,0.06058008972133867,0.0004753885273880293,0.0010117476260235148,0.0026325034108097534,0.0015147647910878932,0.005084128855623297,0.004109337996812076,0.0006509483610594013,0.011285447855372376,0.0008693660108429523,0.0003040398941770325,63521.050112398036,405722.5756194556,69196.08052548698,35030.96647580332,98197.1910183857,88343.17718887144,133172.34877168364,95653.39593637161,48300.326044784946,107918.57100607178,40757.50647320621,936.0093248242292,43947.1455345166,310579.26210356154,2027.9247361924895,22500.65762883276,6130.245633068196,51961.67385110923,53601.290191205684,61376.58201880225,9954.531723284515,51773.36169087694,6321.464021259745,38857.38710971696,16544.448660315455,76353.65110250087,20429.971497722985,5342.442422890382,28725.79304733342,28035.975282038897,40794.04875509508,24883.128715396375,17224.988138981847,50815.71312889094,19933.86028552705,1937.0192972056966,94002.65892925381,792874.0166372032,11304.310184856782,118878.31149228696,1429.9187273438517,0,7704.484068573656,14245.962882144368,11458.235594327054,1229357.828151564,25259.295311840408,1963.019556228592,0.5848291944444446,5.089594611111112,0.16031997222222225,0.3070917777777778,0.48999202777777784,0.3364461388888889,0.10978460752123648,0.5645069444444446,0.19870644444444446,2.007386694444445,0.24612502777777778,0.15556194444444443,0
1724055147.84,0.0033056765942162665,0.06324536010795426,0.0004921892613295125,0.0010507786640391972,0.0027359530402703523,0.0015709829585396791,0.005629735855472686,0.004235931857616865,0.0006722730429987196,0.011806339913054338,0.0008963159933543199,0.00031267474184243723,66154.8907522631,419876.05150919984,71641.54328221279,36163.01912434209,102056.05136523666,91621.89845150382,181728.66305226422,98600.1315663121,49661.8689484539,112556.61573745293,42020.97211708941,962.5923426717144,45895.090174416815,321498.4804023911,2099.593743716335,23443.188757735745,6371.146228539141,53890.15152554657,96523.72381739203,63267.37281936177,10235.141051151546,54172.31642148951,6517.4267604218185,39960.95155896881,17137.242711432627,79055.57585692753,21151.988323520647,5511.658065422336,29854.632096318514,29076.48742118614,42338.654609032434,25649.688033570805,17710.545117306734,52839.35466297749,20551.801612170482,1992.0313758067423,98056.41673101336,823665.8522726505,11703.81647679714,123636.23232117921,1486.1103212065893,0,7990.520775205853,14684.829542305066,11641.640978739346,1286182.60718469,26042.32289563508,2018.7700519920677,0.6208014166666667,5.402650166666666,0.17018108333333334,0.32598066666666664,0.5201309166666667,0.3571405833333333,0.11756251493080441,0.5992291666666667,0.21092866666666665,2.1308589166666665,0.26126391666666665,0.16528416666666668,0
1724055152.84,0.003442423924817611,0.06591063049456986,0.0005089899952709959,0.0010898097020548793,0.0028394026697309512,0.0016272011259914642,0.005975475016106089,0.004362525718421653,0.0006935977249380378,0.012327231970736298,0.0009232659758656876,0.000321309589507842,68788.73139212819,434029.52739894413,74087.00603893863,37295.071772880874,105914.91171208762,94900.61971413616,188270.92830837893,101546.86719625257,51023.41185212285,117194.66046883406,43284.437760972614,989.1753605191997,47843.03481431702,332417.6987012207,2171.2627512401814,24385.719886638737,6612.046824010083,55818.629199983894,100132.24645690678,65158.16361992128,10515.750379018575,56571.271152102054,6713.389499583892,41064.516008220664,17730.036762549797,81757.50061135419,21874.005149318316,5680.873707954292,30983.4711453036,30116.99956033337,44029.16669642873,26416.247351745227,18196.102095631617,54862.99619706403,21169.742938813913,2047.0434544077882,102110.17453277289,854457.6879080975,12103.322768737498,128394.15315007146,1542.3019150693265,0,8422.463715296988,15123.696202465762,11825.046363151636,1343007.3862178158,26825.350479429755,2074.5205477555437,0.6567736388888888,5.715705722222221,0.18004219444444444,0.34486955555555554,0.5502698055555555,0.3778350277777778,0.12534042234037232,0.6339513888888889,0.2231508888888889,2.254331138888889,0.2764028055555555,0.1750063888888889,0
