Idle Energy:
kernel_processes: 10462.631999999905
system_processes: 38967.47599999939
policy: 230.12400000000807
sidecar: 2349.443999999935
rabbitmq: 565.7600000000286
orchestrator: 91.33199999999688
policy-enforcer: 202.5520000000016
surf: 608.8999999999503
vu: 576.7360000000024
api-gateway: 74.79199999999868
uva: 687.1160000000227
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9881.899999999945
system_processes: 41410.35732109972
policy: 188.89200000000744
sidecar: 2114.0537659999877
rabbitmq: 533.0800000000309
orchestrator: 141.75200000000217
policy-enforcer: 172.80799999999442
surf: 411.5320000000359
vu: 514.2359999999651
api-gateway: 122.56800000000372
uva: 683.4520000000305
sql-algorithm: 0
sql-query: 33.432
