Idle Energy:
kernel_processes: 10429.524000000014
system_processes: 38357.90399999985
policy: 233.66799999999907
policy-enforcer: 217.56800000000004
rabbitmq: 524.7000000000002
sidecar: 2360.8999999999987
surf: 566.4679999999996
vu: 620.3679999999994
uva: 599.7079999999992
api-gateway: 148.44400000000024
orchestrator: 170.79999999999998
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 9921.524000000043
system_processes: 41608.62800000004
policy: 203.43600000000146
policy-enforcer: 203.59200000000027
rabbitmq: 498.7119999999998
sidecar: 2189.3364426999988
surf: 316.92000000000036
vu: 612.2599999999999
uva: 560.5759999999992
api-gateway: 123.07200000000056
orchestrator: 143.40799999999993
sql-algorithm: 74.75940989999998
sql-query: 89.33996849999998
