Idle Energy:
kernel_processes: 10484.676000000016
system_processes: 39213.91599999727
policy: 214.9679999999717
sidecar: 2409.7399999999907
uva: 580.8400000000154
rabbitmq: 518.6719999999816
surf: 614.1479999999732
vu: 696.712000000008
api-gateway: 134.1999999999978
orchestrator: 177.7879999999971
policy-enforcer: 181.2360000000003
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 10310.191999999728
system_processes: 39365.80000000038
policy: 209.34000000003041
sidecar: 2341.396000000032
uva: 582.1880000000276
rabbitmq: 487.32399999999865
surf: 545.1519999999954
vu: 624.2639999999913
api-gateway: 133.89600000000357
orchestrator: 139.95199999999363
policy-enforcer: 198.05999999999642
sql-query: 0
sql-algorithm: 0
