run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.024884,200,6.258984
1,200,0.024521,200,6.112313
2,200,0.020859,200,6.092508
3,200,0.022944,200,6.154878
4,200,0.025246,200,6.168015
5,200,0.037161,408,30.004862
6,200,0.022568,400,6.02461
