Idle Energy:
kernel_processes: 10433.383999999933
system_processes: 38490.811999999845
policy: 223.58400000000478
policy-enforcer: 204.88399999999967
rabbitmq: 508.78000000000173
sidecar: 2520.223999999993
surf: 637.5280000000012
vu: 644.7879999999969
uva: 570.9319999999952
api-gateway: 118.27999999999881
orchestrator: 118.5879999999988
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9868.623999999932
system_processes: 41580.108000000015
policy: 199.48800000000202
policy-enforcer: 184.29599999999996
rabbitmq: 531.4080000000084
sidecar: 2153.6434949999943
surf: 346.7239999999975
vu: 610.5360000000021
uva: 551.3599999999991
api-gateway: 126.45200000000044
orchestrator: 152.36800000000085
sql-query: 123.97895
sql-algorithm: 101.23274
