run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.023025,200,6.465618
1,200,0.034089,200,0.01173
2,200,0.020777,200,0.011925
3,200,0.022274,200,0.010631
4,200,0.021531,200,0.011866
5,200,0.020284,200,1.014712
6,200,0.028095,200,0.012328
