Idle Energy:
kernel_processes: 10458.584000000148
system_processes: 38193.30400000189
policy: 219.76400000001647
rabbitmq: 539.1240000000023
policy-enforcer: 219.7599999999971
orchestrator: 169.20399999999938
sidecar: 2440.532
vu: 607.0879999999942
uva: 590.7720000000087
api-gateway: 127.0520000000009
surf: 587.4560000000013
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9485.524000000052
system_processes: 43995.6199999994
policy: 184.11999999998136
rabbitmq: 528.6639999999979
policy-enforcer: 174.46400000000367
orchestrator: 142.29599999999738
sidecar: 1962.5285222000068
vu: 346.5040000000014
uva: 560.128000000003
api-gateway: 113.4320000000004
surf: 381.10400000000357
sql-algorithm: 35.0541792
sql-query: 42.75489119999999
