run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.023235,200,5.277793
1,200,0.020567,200,0.01228
2,200,0.022649,200,0.013401
3,200,0.024667,200,0.011819
4,200,0.024169,200,0.01165
5,200,0.026929,200,0.013168
6,200,0.026925,200,0.012566
