Idle Energy:
kernel_processes: 10431.77199999988
system_processes: 37555.08800000016
policy: 222.0319999999975
rabbitmq: 542.2120000000028
policy-enforcer: 196.85599999999883
orchestrator: 130.3439999999996
sidecar: 2397.468000000017
vu: 641.1400000000082
uva: 566.5919999999973
api-gateway: 69.81200000000038
surf: 601.1359999999946
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9406.011999999988
system_processes: 44809.76092519993
policy: 171.63199999996925
rabbitmq: 506.47199999999384
policy-enforcer: 167.1479999999998
orchestrator: 127.58799999999907
sidecar: 1919.4668613000001
vu: 301.528000000002
uva: 559.7520000000018
api-gateway: 109.72800000000072
surf: 403.9320000000022
sql-algorithm: 83.23097399999999
sql-query: 72.4044063
