Idle Energy:
kernel_processes: 10439.000000000076
system_processes: 39196.58399999905
policy: 219.49200000000806
sidecar: 2117.879999999987
uva: 597.3920000000002
rabbitmq: 516.2720000000072
surf: 617.303999999989
vu: 601.8160000000039
api-gateway: 141.93200000000144
orchestrator: 175.7640000000004
policy-enforcer: 199.75600000000108
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 10350.095999999787
system_processes: 40018.08000000049
policy: 212.891999999991
sidecar: 2176.5799999999977
uva: 554.2880000000043
rabbitmq: 519.719999999999
surf: 606.5400000000117
vu: 594.8319999999956
api-gateway: 130.30400000000094
orchestrator: 151.37199999999987
policy-enforcer: 163.61599999999177
sql-query: 0
sql-algorithm: 0
