idle_energy_total,active_energy_total,total_energy_difference,average_exec_time,idle_energy_total_Anomaly,idle_energy_total_Anomaly_Score,active_energy_total_Anomaly,active_energy_total_Anomaly_Score,total_energy_difference_Anomaly,total_energy_difference_Anomaly_Score,average_exec_time_Anomaly,average_exec_time_Anomaly_Score
21187.15891438381,22156.01076642275,968.8518520389408,6.607604142857142,0,0,0,0,0,0,0,0
21537.07969685736,22282.96341440254,745.8837175451808,7.315212142857143,0,0,0,0,0,0,0,0
21497.02056735218,22386.644824659463,889.624257307285,6.820465142857143,0,0,0,0,0,0,0,0
21975.73947535082,22735.196490200004,759.4570148491839,6.386661000000001,0,0,0,0,0,0,0,0
21795.31201090001,22545.95750859999,750.6454976999812,6.535840285714286,0,0,0,0,0,0,0,0
21690.28801280057,22274.37397217647,584.0859593758942,6.786017000000001,0,0,0,0,0,0,0,0
21522.220332447043,22164.274878750177,642.054546303134,6.350436571428571,0,0,0,0,0,0,0,0
21483.480116003884,22329.332518473344,845.8524024694598,6.424545285714285,0,0,0,0,0,0,0,0
21595.819907108973,22443.62949464416,847.8095875351828,8.735824142857142,0,0,0,0,0,0,0,0
21446.80997735444,22369.07130691026,922.2613295558184,6.442140142857143,0,0,0,0,0,0,0,0
21254.17462173752,22124.443303110093,870.2686813725741,7.533711428571429,0,0,0,0,0,0,0,0
21278.15727190905,22121.89732282752,843.7400509184627,6.380935142857142,0,0,0,0,0,0,0,0
21299.365978865968,22026.723763722715,727.3577848567475,7.141132571428571,0,0,0,0,0,0,0,0
20876.22783234821,21763.85460602693,887.6267736787195,6.366043428571429,0,0,0,0,0,0,0,0
20843.08349589983,21875.70775965856,1032.6242637587277,7.183925571428572,0,0,0,0,0,0,0,0
21633.99999999997,22622.38921329043,988.3892132904548,9.463206571428572,0,0,0,0,0,0,0,0
21019.44219743103,21991.162367830817,971.7201703997852,6.846222428571429,0,0,0,0,0,0,0,0
21084.745099782253,21677.632491879365,592.8873920971128,6.378552857142856,0,0,0,0,0,0,0,0
20977.80943385757,21413.824657658704,436.015223801136,6.316761285714285,0,0,0,0,0,0,0,0
20690.84448502665,21514.570123673435,823.7256386467852,6.317504,0,0,0,0,0,0,0,0
20650.1736442107,21483.68232283476,833.5086786240572,6.2924177142857145,0,0,0,0,0,0,0,0
20690.6334796375,21602.817494152747,912.1840145152456,11.371411999999998,0,0,0,0,0,0,0,0
20636.382465692663,21663.636072970217,1027.2536072775547,8.134811,0,0,0,0,0,0,0,0
20782.346581209957,21807.25576409971,1024.909182889758,8.832489714285714,0,0,0,0,0,0,0,0
20758.983398646877,21545.002244245192,786.0188455983189,7.117835285714286,0,0,0,0,0,0,0,0
20838.47015422897,21518.14456288891,679.6744086599392,6.354609285714285,0,0,0,0,0,0,0,0
21633.84437604863,24176.55529138429,2542.7109153356614,7.918187142857143,0,0,1,-1,1,-1,0,0
20829.98977732324,21513.089103970306,683.0993266470614,8.735449285714285,0,0,0,0,0,0,0,0
21573.42000000001,22716.541218040576,1143.121218040571,7.985819142857141,0,0,0,0,0,0,0,0
21584.440148218942,22595.40212004712,1010.9619718281756,7.672471857142858,0,0,0,0,0,0,0,0
21523.826307251267,22568.23170972368,1044.4054024724137,6.442419571428571,0,0,0,0,0,0,0,0
21571.57473665495,22833.099402208954,1261.5246655540031,10.402774571428573,0,0,0,0,0,0,0,0
21545.23078290632,22341.072468277045,795.841685370724,6.421623857142857,0,0,0,0,0,0,0,0
21668.052756141777,22471.225625523643,803.1728693818659,9.818858714285714,0,0,0,0,0,0,0,0
18262.40874695616,19079.32075083271,816.9120038765504,11.15789742857143,0,1,0,1,0,0,0,0
17903.766828078504,19539.52244994898,1635.7556218704776,8.260813,0,1,0,1,0,0,0,0
18471.2933157182,19180.30032423551,709.0070085173102,9.089058428571429,0,1,0,1,0,0,0,0
17892.191864995806,19402.78949647824,1510.597631482433,6.402808571428571,0,1,0,1,0,0,0,0
17977.73829079008,19222.364759059765,1244.6264682696856,6.556150142857144,0,1,0,1,0,0,0,0
17694.799195038224,19235.658864727244,1540.85966968902,7.468123999999999,0,1,0,1,0,0,0,0
17897.25972452315,19280.48198281133,1383.2222582881805,8.48845757142857,0,1,0,1,0,0,0,0
17954.469571118712,19143.681541265734,1189.2119701470256,6.856630285714287,0,1,0,1,0,0,0,0
17685.77425147736,19173.205115385423,1487.4308639080664,6.393303285714286,0,1,0,1,0,0,0,0
18040.617258307877,19446.377827926077,1405.7605696182,7.460546714285715,0,1,0,1,0,0,0,0
17776.658073690924,18919.02098748836,1142.3629137974383,10.850468857142856,0,1,0,1,0,0,0,0
17437.69593537466,18844.2482784093,1406.5523430346402,6.399888857142857,0,1,0,1,0,0,0,0
18398.072197707745,19747.97073133085,1349.898533623105,11.383562571428572,0,1,0,1,0,0,0,0
18237.68143828701,19257.13445767488,1019.4530193878708,6.497908142857142,0,1,0,1,0,0,0,0
17985.697453148063,19405.182969181773,1419.4855160337102,6.362297,0,1,0,1,0,0,0,0
18125.390576858423,19107.142285791477,981.7517089330468,6.828210571428572,0,1,0,1,0,0,0,0
18003.23420045213,18763.788519786864,760.554319334733,6.338027428571429,0,1,0,1,0,0,0,0
18009.76832561112,18798.43861461905,788.6702890079359,9.041154571428573,0,1,0,1,0,0,0,0
17652.87350231512,18919.49092862281,1266.6174263076937,6.603219571428572,0,1,0,1,0,0,0,0
17771.764676056762,18814.22177014067,1042.4570940839076,9.913987571428573,0,1,0,1,0,0,0,0
