idle_energy_total,active_energy_total,total_energy_difference,average_exec_time,idle_energy_total_Anomaly,idle_energy_total_Anomaly_Score,active_energy_total_Anomaly,active_energy_total_Anomaly_Score,total_energy_difference_Anomaly,total_energy_difference_Anomaly_Score,average_exec_time_Anomaly,average_exec_time_Anomaly_Score
21187.15891438381,22156.01076642275,968.8518520389408,6.607604142857142,0,0.005245512479473191,0,0.00486529653872772,0,0.0029848213838908066,1,0.015912729826801572
21537.07969685736,22282.96341440254,745.8837175451808,7.315212142857143,0,0.006410192060819608,0,0.005268522753838795,0,0.01804834280481475,0,0.009497087841011748
21497.02056735218,22386.644824659463,889.624257307285,6.820465142857143,0,0.006709529802209735,0,0.005622472994759181,0,0.016595531125992782,0,0.010349009459010378
21975.73947535082,22735.196490200004,759.4570148491839,6.386661000000001,0,0.007655884902012411,0,0.006352981937093466,0,0.02026611468042963,0,0.012741547859362434
21795.31201090001,22545.95750859999,750.6454976999812,6.535840285714286,0,0.007983483382726086,0,0.00655086342944744,0,0.022706584000175084,0,0.013636047683986116
21690.28801280057,22274.37397217647,584.0859593758942,6.786017000000001,0,0.008085361419733234,0,0.006395250441611489,0,0.028084433118387014,0,0.013476291732369888
21522.220332447043,22164.274878750177,642.054546303134,6.350436571428571,0,0.007998303438232102,0,0.00618418514761318,0,0.030806809848004865,0,0.014490540385055331
21483.480116003884,22329.332518473344,845.8524024694598,6.424545285714285,0,0.007900774128079657,0,0.006156949940651163,0,0.029406493618559043,0,0.015083247223800791
21595.819907108973,22443.62949464416,847.8095875351828,8.735824142857142,0,0.007908009732132681,0,0.006216440190482231,0,0.028287975302982646,0,0.01088744536611011
21446.80997735444,22369.07130691026,922.2613295558184,6.442140142857143,0,0.00781460500862921,0,0.006216670139422981,0,0.026387182452516436,0,0.01169001501734844
21254.17462173752,22124.443303110093,870.2686813725741,7.533711428571429,0,0.007621606724630775,0,0.00607558810632719,0,0.025470638362983022,0,0.010547225276770239
21278.15727190905,22121.89732282752,843.7400509184627,6.380935142857142,0,0.007474078833883152,0,0.005956671990943602,0,0.025005559920703885,0,0.011336872493189584
21299.365978865968,22026.723763722715,727.3577848567475,7.141132571428571,0,0.007536324006424483,0,0.005888231894588286,0,0.02772474597710635,0,0.010530652244371191
20876.22783234821,21763.85460602693,887.6267736787195,6.366043428571429,0,0.007169726426134199,0,0.005613433530312295,0,0.026128740964116076,0,0.011964950767227908
20843.08349589983,21875.70775965856,1032.6242637587277,7.183925571428572,0,0.006806964722746112,0,0.005342961006161551,0,0.02451858288385622,0,0.011415722007397586
21633.99999999997,22622.38921329043,988.3892132904548,9.463206571428572,0,0.006617389915619942,0,0.005283244710323348,0,0.021940841537550507,0,0.006766722622791793
21019.44219743103,21991.162367830817,971.7201703997852,6.846222428571429,0,0.006186987867122656,0,0.004989555228018638,0,0.019451574722662193,0,0.006297701001745093
21084.745099782253,21677.632491879365,592.8873920971128,6.378552857142856,0,0.005851072091445253,0,0.004673660795029871,0,0.01935247194381899,0,0.00691342422293964
20977.80943385757,21413.824657658704,436.015223801136,6.316761285714285,0,0.005549068376505595,0,0.004276398236777723,0,0.021672443027809893,0,0.006964311290570319
20690.84448502665,21514.570123673435,823.7256386467852,6.317504,0,0.005109365744231209,0,0.003845091023815528,0,0.021921586985514385,0,0.007126062468916117
20650.1736442107,21483.68232283476,833.5086786240572,6.2924177142857145,0,0.004584782777295737,0,0.0033369279790965156,0,0.022082613020475636,0,0.010818318838613172
20690.6334796375,21602.817494152747,912.1840145152456,11.371411999999998,0,0.004165305297964883,0,0.002931299542497795,0,0.022196082038013154,0,0.0033696458713634303
20636.382465692663,21663.636072970217,1027.2536072775547,8.134811,0,0.003822594439917143,0,0.0026873640302393365,0,0.02042845591548753,0,0.0024613181795488104
20782.346581209957,21807.25576409971,1024.909182889758,8.832489714285714,0,0.0035475509555088214,0,0.0025208036015264557,0,0.01838851935201402,0,0.0012432509319064977
20758.983398646877,21545.002244245192,786.0188455983189,7.117835285714286,0,0.00324778188928021,0,0.0022657967832002412,0,0.017728004829717647,0,0.0012080461659005615
20838.47015422897,21518.14456288891,679.6744086599392,6.354609285714285,0,0.00322683638820917,0,0.0021357263300484375,0,0.020069516478235183,0,0.001190767916034896
21633.84437604863,24176.55529138429,2542.7109153356614,7.918187142857143,0,0.0036654990308061797,0,0.003353715946031316,0,0.0030661730220599426,0,0.0023003180639060983
20829.98977732324,21513.089103970306,683.0993266470614,8.735449285714285,0,0.0032194865157611496,0,0.0027664905886226054,0,0.006503690194252454,0,0.0012005966085021358
21573.42000000001,22716.541218040576,1143.121218040571,7.985819142857141,0,0.0035267973260395546,0,0.0031504812246933023,0,0.004573740758078648,0,0.0029226528239583993
21584.440148218942,22595.40212004712,1010.9619718281756,7.672471857142858,0,0.0038039955991744923,0,0.003636316927215638,0,0.00013371471279785552,0,0.004877907018986161
21523.826307251267,22568.23170972368,1044.4054024724137,6.442419571428571,0,0.004106890204355729,0,0.0042474203500391106,0,0.006984094558556336,0,0.0050677905358700315
21571.57473665495,22833.099402208954,1261.5246655540031,10.402774571428573,0,0.004595461995516831,0,0.004945404439589407,0,0.011913644271156681,0,0.011241084553972519
21545.23078290632,22341.072468277045,795.841685370724,6.421623857142857,0,0.005091981410667551,0,0.00539927731886336,0,0.01148951972003967,0,0.011436329273962514
21668.052756141777,22471.225625523643,803.1728693818659,9.818858714285714,0,0.005634189976518655,0,0.005858982741261148,0,0.01026207099097623,0,0.009090250172490988
