Idle Energy:
kernel_processes: 10480.72799999977
system_processes: 38428.184000000096
policy: 228.56399999997421
rabbitmq: 516.2919999999982
policy-enforcer: 197.5119999999991
orchestrator: 132.89199999999965
sidecar: 2413.2000000000016
vu: 660.8400000000006
uva: 582.7600000000024
api-gateway: 132.85600000000085
surf: 643.5479999999992
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9446.619999999684
system_processes: 44674.055999999764
policy: 188.10799999999284
rabbitmq: 478
policy-enforcer: 188.26400000000012
orchestrator: 136.81200000000015
sidecar: 1999.5801162
vu: 366.2240000000004
uva: 542.9279999999995
api-gateway: 130.52399999999975
surf: 361.57599999999894
sql-algorithm: 53.610240000000005
sql-query: 58.8
