run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.024034,200,6.37907
1,200,0.019837,200,6.404868
2,200,0.024113,200,6.251827
3,200,0.022556,200,6.257297
4,200,0.030525,200,6.364077
5,200,0.020358,200,6.320186
6,200,0.026608,200,6.3077
