run_nr,appr_status_code,appr_exec_time,data_status_code,data_req_exec_time
0,200,0.02118,200,5.882859
1,200,0.02061,200,6.146928
2,200,0.020036,200,6.189273
3,200,0.020723,200,6.159876
4,200,0.018177,200,6.324691
5,200,0.019267,200,6.148688
6,200,0.020142,200,6.148638
