Idle Energy:
kernel_processes: 9088.82400000004
system_processes: 54841.887999999984
policy: 219.020000000007
vu: 644.3880000000074
sidecar: 1712.0920000000026
uva: 299.87999999999744
policy-enforcer: 204.0080000000007
rabbitmq: 485.00000000000136
orchestrator: 105.94000000000118
surf: 144.30799999999851
api-gateway: 89.1119999999997
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9716.235999999859
system_processes: 44098.871999999654
policy: 190.05999999998866
vu: 598.7640000000076
sidecar: 1961.898235200011
uva: 497.664
policy-enforcer: 182.9359999999996
rabbitmq: 488.17599999999806
orchestrator: 140.87999999999926
surf: 302.10000000000235
api-gateway: 137.39999999999958
sql-algorithm: 31.904683199999994
sql-query: 34.62741600000001
